Stock,Margin
MARICO,12.42x
MARUTI,7.58x
MATRIMONY,3.29x
MCDOWELL-N,10.44x
MCX,5x
MEGH,5x
METROPOLIS,5x
MFSL,5x
MGL,8.16x
MHRIL,5x
MIDHANI,5x
MINDACORP,5x
MINDAIND,5x
MINDTREE,5x
MMTC,5x
MOIL,5x
MOLDTKPAC,5x
MONTECARLO,5x
MOREPENLAB,5x
MOTHERSUMI,5x
MOTILALOFS,5x
MPHASIS,5x
MRF,10.76x
MRPL,5x
MUNJALSHOW,9.91x
MUTHOOTFIN,5x
NATCOPHARM,5x
NATIONALUM,7.45x
NAUKRI,9.01x
NAVINFLUOR,5x
NAVKARCORP,4.63x
NBCC,4.72x
NCC,5x
NESCO,5x
NESTLEIND,12.03x
NFL,5x
NH,5x
NHPC,4.49x
NIITLTD,5x
NIITTECH,4.26x
NITINSPIN,3.26x
NLCINDIA,4.84x
NMDC,5x
NOCIL,5x
NPBET,10.34x
NTPC,8.33x
NUCLEUS,5x
OAL,3.3x
OBEROIRLTY,5x
OFSS,5x
OIL,5x
OMAXE,5x
ONGC,3.92x
ORIENTELEC,5x
PAGEIND,6.93x
PANACHE,3.28x
PANAMAPET,3.2x
PAPERPROD,5x
PARAGMILK,
PDSMFL,3.3x
PEL,4.04x
PERSISTENT,5x
PETRONET,7.34x
PFC,7.83x
PFIZER,5x
PFS,5x
PGHH,5x
PGHL,5x
PGIL,3.28x
PHOENIXLTD,5x
PIDILITIND,10.4x
PIIND,5x
PITTIENG,3.23x
PNB,5x
PNBGILTS,5x
PODDARMENT,3.28x
POLYCAB,4.4x
POWERGRID,13.99x
PPAP,3.27x
PRABHAT,4.51x
PRAJIND,5x
PRESTIGE,4.64x
PTC,5x
PTL,3.3x
PURVA,5x
PVR,4.6x
QUICKHEAL,5x
RADICO,4.03x
RAIN,5x
RAJESHEXPO,5x
RALLIS,5x
RAMCOCEM,10.02x
RAMCOIND,5x
RBLBANK,5x
RCF,4.35x
RECLTD,9.03x
REDINGTON,5x
RELAXO,5x
RELIANCE,9.05x
RITES,5x
SAIL,4.46x
SALZERELEC,3.3x
SANDHAR,3.3x
SANGHIIND,5x
SANOFI,5x
SARDAEN,5x
SAREGAMA,4.26x
SARLAPOLY,3.24x
SBICARD,5x
SBILIFE,5x
SBIN,5.69x
SCHAEFFLER,5x
SCI,5x
SEQUENT,5x
SFL,5x
SHARIABEES,3.3x
SHIVAMAUTO,3.23x
SHK,5x
SHOPERSTOP,5x
SHREECEM,10.86x
SIEMENS,7x
SIS,5x
SIYSIL,5x
SJVN,5x
SKFINDIA,5x
SOLARINDS,5x
SONATSOFTW,5x
SOTL,3.3x
SOUTHBANK,5x
SOUTHWEST,3.21x
SPARC,5x
SPENCERS,5x
SRF,5x
SRTRANSFIN,4.49x
STAR,5x
STARCEMENT,5x
STRTECH,5x
SUDARSCHEM,4.87x
SUMICHEM,5x
SUNCLAYLTD,5x
SUNDARMFIN,5x
SUNDARMHLD,3.3x
SUNDRMFAST,5x
SUNPHARMA,8.34x
SUNTECK,5x
SUNTV,7.79x
SUPRAJIT,5x
SUPREMEIND,5x
SUVENPHAR,3.11x
SWANENERGY,5x
SYNGENE,5x
TATACHEM,9.71x
TATACOFFEE,4.62x
TATACONSUM,5x
TATAELXSI,5x
TATAINVEST,5x
TATAMOTORS,5x
TATAMTRDVR,5x
TATAPOWER,8.39x
TATASTEEL,6.31x
TATASTLBSL,5x
TBZ,5x
TCI,5x
TCS,9.53x
TEAMLEASE,5x
TECHM,7.3x
TECHNOE,3.3x
THERMAX,4.09x
THYROCARE,5x
TIDEWATER,5x
TIINDIA,5x
TITAN,9.63x
TNPETRO,5x
TNPL,5x
TORNTPHARM,11.26x
TORNTPOWER,9.02x
TOUCHWOOD,
TRENT,5x
TRIGYN,3.21x
TRITURBINE,5x
TTKPRESTIG,5x
TVSMOTOR,9.45x
TVSSRICHAK,5x
UBL,5x
UFLEX,5x
UJJIVAN,5x
ULTRACEMCO,6.94x
UNIONBANK,5x
UNIVCABLES,3.22x
UPL,5x
VAISHALI,
VARDHACRLC,3.3x
VBL,5x
VEDL,7.3x
VGUARD,5x
VHL,3.3x
VINATIORGA,5x
VIPIND,5x
VMART,5x
VOLTAMP,5x
VOLTAS,10.4x
VSTIND,5x
VSTTILLERS,5x
WABCOINDIA,16x
WESTLIFE,5x
WHIRLPOOL,5x
WIPRO,12.41x
WOCKPHARMA,9.06x
WONDERLA,5x
YESBANK,
ZEEL,5x
ZODIACLOTH,3.3x
ZOTA,5x
ZYDUSWELL,5x
